Frequency (Hz),Channel1 (V1) Magnitude (X),Channel2 (V2) Magnitude (X),Channel2 (V2) Phase (бу)
100,1.001268951,1.997471824,0.012244914
105.4411903,1.001264721,1.997500655,0.012654511
111.1784461,1.001278741,1.997463269,0.013887239
117.227877,1.00128247,1.99746241,0.014369599
123.6064689,1.001286824,1.997488507,0.01525551
130.3321321,1.001267314,1.9974551,0.015330206
137.4237514,1.001282929,1.997423479,0.016773719
144.9012392,1.001292193,1.997408997,0.016930872
152.7855914,1.001283125,1.997359848,0.018075687
161.0989462,1.001277692,1.997346024,0.018952016
169.8646465,1.001304857,1.997287142,0.020808534
179.1073051,1.001274349,1.997473296,0.021570059
188.8528745,1.001278899,1.997377194,0.022258332
199.1287188,1.001309065,1.997384981,0.025069912
209.9636913,1.001292793,1.997409199,0.025577857
221.3882153,1.001304889,1.997391157,0.027678622
233.4343695,1.001316235,1.997355298,0.027242811
246.1359778,1.001300451,1.997388044,0.029709551
259.5287047,1.001310995,1.99735051,0.030986835
273.6501554,1.001290723,1.997391194,0.034007198
288.5399812,1.001287553,1.997443591,0.034502587
304.2399907,1.001280743,1.997397289,0.03768166
320.7942676,1.001277313,1.997337494,0.037459486
338.2492942,1.001276645,1.997369348,0.040643631
356.654082,1.001257178,1.99742602,0.041674982
376.0603093,1.001286268,1.997336313,0.045166633
396.5224664,1.001285987,1.997375311,0.046925308
418.0980084,1.001291825,1.997358448,0.04907012
440.8475167,1.001287222,1.997366972,0.05296483
464.8348691,1.001270254,1.997402976,0.05477307
490.1274189,1.001274235,1.997460105,0.060113514
516.7961846,1.001270337,1.997358844,0.062342668
544.9160485,1.0012969,1.997377049,0.066302414
574.5659677,1.0012813,1.997378701,0.06803702
605.8291954,1.001315267,1.997356626,0.070392002
638.7935149,1.001328179,1.997300973,0.074036368
673.5514857,1.001314021,1.997366095,0.080414827
710.2007039,1.001304513,1.997365953,0.083966647
748.8440757,1.001309183,1.997375266,0.087692205
789.590107,1.001304699,1.9973783,0.094289931
832.5532074,1.001325425,1.997359461,0.096447827
877.8540118,1.001334475,1.997311887,0.103686005
925.6197192,1.001368813,1.99726893,0.108070138
975.9844497,1.001334036,1.997346306,0.114415402
1029.089621,1.001345334,1.997356535,0.122167254
1085.084346,1.001346158,1.997309679,0.128521582
1144.12585,1.001372349,1.99730103,0.133550051
1206.379915,1.001404528,1.997283701,0.141952127
1272.021342,1.001424714,1.997266632,0.150490335
1341.234444,1.001441301,1.997317995,0.158651559
1414.213562,1.001513486,1.997199276,0.166612723
1491.163614,1.00147031,1.997293325,0.177296155
1572.300664,1.00153355,1.997235479,0.185648977
1657.852535,1.001534727,1.997178472,0.196244958
1748.059446,1.001542441,1.997195573,0.207310388
1843.174688,1.001609889,1.997126618,0.219128791
1943.46533,1.001642083,1.99714151,0.231430626
2049.212977,1.001687606,1.997133172,0.244012546
2160.714555,1.001766301,1.997101425,0.256745302
2278.283146,1.001744745,1.997120303,0.272401005
2402.248868,1.001908766,1.996992173,0.288161178
2532.959801,1.001992088,1.996992667,0.302498996
2670.782964,1.00207546,1.996878712,0.321119272
2816.105348,1.002132696,1.99689785,0.339566531
2969.334999,1.00215883,1.996831805,0.357421339
3130.902167,1.002269411,1.996834006,0.378090573
3301.260512,1.00241986,1.996678863,0.404581134
3480.888379,1.002511033,1.99665357,0.425167921
3670.29014,1.002641285,1.996600142,0.447474456
3869.997612,1.00276821,1.996517436,0.476483773
4080.571547,1.002812727,1.996449581,0.500396224
4302.60321,1.003013374,1.996343174,0.531403517
4536.716039,1.002866537,1.99632014,0.560471924
4783.567393,1.003246855,1.99625804,0.59403282
5043.850398,1.003478614,1.996074224,0.626876245
5318.295897,1.003617356,1.996020599,0.664777797
5607.674498,1.003755288,1.995954797,0.705661643
5912.798739,1.002599461,1.995997704,0.746860858
6234.525371,1.003856077,1.995891713,0.788000822
6573.757761,1.004321034,1.995778013,0.834165914
6931.448432,1.003186672,1.995693647,0.884406399
7308.601732,1.004664617,1.995646793,0.934637759
7706.276661,1.004076678,1.995681124,0.990071499
8125.58984,1.004736496,1.995462917,1.047618271
8567.718647,1.005201981,1.995560429,1.104449442
9033.904523,1.005265949,1.995524318,1.175489816
9525.456461,1.005003728,1.995609783,1.237448784
10043.75467,1.004500225,1.995555452,1.311309288
10590.25448,1.004311434,1.995642569,1.383480517
11166.49038,1.004698424,1.995695646,1.464453439
11774.08037,1.005653894,1.995758457,1.542419286
12414.73049,1.006258236,1.995967989,1.633551047
13090.23961,1.006407358,1.995924742,1.724652335
13802.50445,1.006562425,1.996106982,1.818498729
14553.52499,1.006708197,1.995962933,1.931025106
15345.40998,1.006708099,1.996221592,2.035828717
16180.38294,1.007105138,1.99647173,2.149644084
17060.78837,1.007242767,1.996520452,2.2653473
17989.09833,1.007329417,1.997039202,2.395742228
18967.91941,1.007386641,1.997446176,2.524729554
20000,1.007111234,1.997443543,2.669493787
21088.23806,1.007638165,1.998031988,2.811586797
22235.68923,1.00731148,1.998203397,2.972125983
23445.57539,1.007853624,1.998842831,3.133633434
24721.29377,1.008038306,1.99924213,3.302255658
26066.42641,1.008278158,1.999821946,3.486843466
27484.75028,1.008259794,2.000552154,3.683428735
28980.24785,1.007980985,2.00129875,3.868216109
30557.11828,1.007099529,2.002190758,4.081703659
32219.78924,1.007395688,2.002929116,4.310015506
33972.92929,1.008775875,2.003905629,4.547606184
35821.46103,1.008461875,2.004661485,4.782762559
37770.57489,1.008155635,2.006242481,5.049830915
39825.74376,1.009253603,2.007606655,5.323059152
41992.73826,1.009594308,2.009104208,5.60916591
44277.64307,1.009753275,2.010593107,5.90874462
46686.87389,1.009933435,2.012673304,6.233564442
49227.19555,1.010170487,2.014770588,6.551099593
51905.74094,1.010415939,2.016978146,6.909869835
54730.03109,1.010629666,2.019241484,7.264527152
57707.99624,1.010773389,2.022275661,7.673640079
60847.99813,1.010849419,2.025628348,8.064054648
64158.85351,1.010987195,2.028748933,8.499303396
67649.85883,1.011139632,2.032568998,8.934817856
71330.81639,1.010247829,2.03704412,9.416194717
75212.06186,1.010307614,2.041550612,9.896849587
79304.49328,1.01038872,2.04697714,10.41907516
83619.60168,1.011348159,2.052330188,10.95999302
88169.50335,1.012541883,2.058790218,11.52841261
92966.97382,1.012695169,2.066073948,12.11175174
98025.48379,1.013053279,2.072914053,12.73722538
103359.2369,1.013511532,2.081213916,13.38149266
108983.2097,1.013142931,2.09163509,14.05229969
114913.1935,1.013571742,2.101375845,14.75929504
121165.8391,1.013334924,2.11322619,15.46594803
127758.703,1.013646322,2.125546365,16.23235609
134710.2971,1.013726606,2.13935561,17.02989134
142040.1408,1.013774663,2.154854677,17.84467159
149768.8151,1.012656447,2.171334479,18.68166672
157918.0214,1.013530689,2.1904979,19.51733577
166510.6415,1.013576559,2.211631794,20.4320813
175570.8024,1.013441148,2.233990283,21.36826198
185123.9438,1.012649733,2.260107475,22.33766951
195196.8899,1.013041756,2.287072326,23.30034429
205817.9242,1.012931249,2.319104136,24.25790607
217016.8691,1.012270923,2.359063877,25.14476132
228825.17,1.012482854,2.409186933,25.79776097
241275.983,1.010895378,2.349842612,20.78019347
254404.2684,1.011417093,2.445666302,2.825917459
268246.8888,1.010471864,2.407616306,1.923332402
282842.7125,1.009778043,2.499393495,9.424894261
298232.7227,1.008389438,2.58551351,5.384109109
314460.1327,1.008458889,2.557816228,-30.4257759
331570.507,1.00793475,2.399873739,-46.70550412
349611.8893,1.007439176,2.278236449,-58.15703351
368634.9375,1.006875467,2.176375854,-67.5309771
388693.066,1.006637281,2.086575181,-75.60446857
409842.5955,1.005327431,2.008744543,-82.68605179
432142.911,1.004500301,1.942443079,-88.86855719
455656.6292,1.004781407,1.881125085,-94.20865171
480449.7736,1.004086099,1.828330618,-98.68628337
506591.9601,1.001671706,1.780631185,-102.3827718
534156.5927,1.002860069,1.734687555,-105.4853862
563221.0695,1.002239233,1.688135865,-108.1684646
593866.9997,1.001223123,1.641218364,-110.4864997
626180.4334,1.000762178,1.591842318,-112.6342931
660252.1024,1.000290014,1.54041033,-114.5546689
696177.6758,0.999634327,1.487286927,-116.4212444
734058.0281,0.999338311,1.431546497,-118.2452561
773999.5224,0.998295061,1.373047132,-120.0562183
816114.3093,0.998147517,1.309157929,-122.0012552
860520.6421,0.995637252,1.246745143,-123.8438416
907343.2078,0.996666673,1.187853283,-125.4586678
956713.4785,0.995740923,1.131986145,-126.9359158
1008770.08,0.99502032,1.07957231,-128.209014
1063659.179,0.994589838,1.029778093,-129.3155532
1121534.9,0.993555671,0.982736994,-130.2746593
1182559.748,0.993110808,0.937783487,-131.0607509
1246905.074,0.991855819,0.895712942,-131.6841865
1314751.552,0.990943829,0.855366701,-132.1446968
1386289.686,0.989192887,0.817407112,-132.4278637
1461720.346,0.988601377,0.781448321,-132.6525096
1541255.332,0.987374587,0.747333671,-132.7736052
1625117.968,0.986172367,0.714272188,-132.9425659
1713543.729,0.984284913,0.682848731,-133.142492
1806780.905,0.983114296,0.652445619,-133.4066519
1905091.292,0.981608252,0.622879972,-133.7871627
2008750.935,0.978715347,0.594750043,-134.2000811
2118050.896,0.975961385,0.56743885,-134.6901315
2233298.076,0.975310113,0.541541315,-135.2224799
2354816.075,0.973054684,0.516632472,-135.8174982
2482946.099,0.96996416,0.492786803,-136.5391164
2618047.921,0.965241216,0.47024026,-137.3589521
2760500.891,0.964488371,0.448777875,-138.447815
2910704.998,0.958029158,0.428179197,-139.7907515
3069081.996,0.956554357,0.408197753,-141.4590974
3236076.588,0.9531716,0.388926159,-143.5521726
3412157.674,0.947361613,0.37032686,-145.9758874
3597819.667,0.943738653,0.352259811,-148.7551381
3793583.882,0.938530227,0.335036695,-151.8909491
4000000,0.932462584,0.318310607,-155.4251533
